id,rle_mask,z,images,masks,coverage,coverage_class
c4f2799234,9045 46 9111 1091,188,"[[0.47058824 0.48235294 0.47058824 ... 0.38039216 0.43137255 0.4745098 ]
 [0.43529412 0.50196078 0.48627451 ... 0.38039216 0.43137255 0.4745098 ]
 [0.51372549 0.58823529 0.58431373 ... 0.38823529 0.43529412 0.4745098 ]
 ...
 [0.47058824 0.49803922 0.51372549 ... 0.53333333 0.6        0.62745098]
 [0.51372549 0.53333333 0.54901961 ... 0.53333333 0.6        0.62745098]
 [0.5372549  0.54117647 0.55686275 ... 0.53333333 0.59607843 0.62745098]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.1114596608175669,2
50290e75f9,1 44 102 40 203 37 304 34 405 32 506 29 607 25 708 21 809 17 910 13 1011 12 1112 10 1213 8 1314 5 1415 4 1516 3 1617 1,658,"[[0.38823529 0.38039216 0.37647059 ... 0.46666667 0.54117647 0.59607843]
 [0.36470588 0.35686275 0.34901961 ... 0.5372549  0.60392157 0.63921569]
 [0.34117647 0.33333333 0.31764706 ... 0.59215686 0.64705882 0.65882353]
 ...
 [0.45098039 0.41960784 0.38039216 ... 0.2745098  0.27843137 0.32941176]
 [0.43137255 0.39607843 0.36862745 ... 0.21960784 0.25098039 0.3372549 ]
 [0.40784314 0.38039216 0.37647059 ... 0.18823529 0.25490196 0.36078431]]","[[1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.03283991765513185,1
f328eccbf3,1 32 102 31 203 29 304 28 405 27 506 26 607 25 708 24 809 23 910 22 1011 21 1112 20 1213 20 1314 19 1415 18 1516 18 1617 17 1718 16 1819 15 1920 14 2021 13 2122 12 2223 10 2324 8 2425 7 2526 5 2627 3 2728 1,514,"[[0.5254902  0.55686275 0.58823529 ... 0.11372549 0.09411765 0.09411765]
 [0.51372549 0.54901961 0.57647059 ... 0.06666667 0.03529412 0.03137255]
 [0.51372549 0.54117647 0.56470588 ... 0.10980392 0.0745098  0.05882353]
 ...
 [0.34509804 0.36862745 0.42352941 ... 0.54509804 0.5372549  0.52156863]
 [0.36078431 0.38823529 0.43137255 ... 0.54901961 0.55294118 0.54509804]
 [0.38039216 0.40784314 0.43921569 ... 0.54901961 0.56470588 0.57254902]]","[[1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.04940692089010881,1
5b836d2444,7374 1 7475 2 7576 3 7677 4 7778 5 7879 5 7980 6 8081 7 8182 7 8283 8 8384 8 8485 9 8586 10 8687 10 8788 10 8889 10 8990 10 9091 10 9192 10 9293 10 9394 10 9495 10 9596 10 9697 10 9798 9 9899 9 10000 9 10101 8,810,"[[0.58431373 0.57647059 0.56078431 ... 0.48235294 0.48627451 0.49411765]
 [0.59607843 0.59607843 0.58431373 ... 0.49803922 0.50196078 0.50980392]
 [0.59607843 0.6        0.59215686 ... 0.51372549 0.51372549 0.5254902 ]
 ...
 [0.54901961 0.53333333 0.50588235 ... 0.40392157 0.40784314 0.42352941]
 [0.54901961 0.5372549  0.50980392 ... 0.43137255 0.44313725 0.45882353]
 [0.54901961 0.54117647 0.51372549 ... 0.47058824 0.49019608 0.50588235]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.02156651308695226,1
3281bb7282,3334 5 3435 13 3536 24 3637 35 3738 44 3839 52 3940 60 4041 66 4142 72 4243 76 4344 79 4445 81 4546 82 4647 84 4748 85 4849 86 4950 87 5051 87 5152 88 5253 89 5354 91 5455 94 5556 97 5657 100 5758 4444,637,"[[0.58823529 0.64705882 0.6745098  ... 0.63137255 0.62352941 0.61568627]
 [0.6        0.65098039 0.6745098  ... 0.63137255 0.62352941 0.61568627]
 [0.60392157 0.65098039 0.67058824 ... 0.62745098 0.62352941 0.61568627]
 ...
 [0.57647059 0.58823529 0.6        ... 0.63921569 0.63921569 0.63921569]
 [0.56470588 0.56862745 0.57647059 ... 0.63921569 0.64705882 0.63921569]
 [0.54901961 0.55294118 0.54901961 ... 0.63921569 0.65098039 0.64705882]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.6000392118419763,7
628ea36ba6,,680,"[[0.63921569 0.66666667 0.67843137 ... 0.67843137 0.6745098  0.6627451 ]
 [0.65098039 0.66666667 0.6745098  ... 0.68235294 0.67843137 0.66666667]
 [0.6627451  0.67058824 0.67843137 ... 0.67843137 0.67843137 0.67058824]
 ...
 [0.5372549  0.57647059 0.61568627 ... 0.6        0.63529412 0.65882353]
 [0.57647059 0.61176471 0.63921569 ... 0.57647059 0.59607843 0.61568627]
 [0.62745098 0.65490196 0.66666667 ... 0.56078431 0.56078431 0.57254902]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
95a60e2f42,9065 8 9163 15 9262 20 9361 25 9460 30 9559 35 9657 39 9755 43 9852 47 9948 52 10043 58 10138 64,558,"[[0.17254902 0.18431373 0.18039216 ... 0.29411765 0.25098039 0.24313725]
 [0.27843137 0.2745098  0.2627451  ... 0.27843137 0.23529412 0.2627451 ]
 [0.40392157 0.4        0.39215686 ... 0.25490196 0.23529412 0.28627451]
 ...
 [0.30980392 0.31372549 0.30196078 ... 0.30196078 0.32941176 0.3372549 ]
 [0.31764706 0.31764706 0.31372549 ... 0.24705882 0.28627451 0.31764706]
 [0.32941176 0.31372549 0.30980392 ... 0.18823529 0.23137255 0.28627451]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.04274090775414175,1
0926b7396b,,673,"[[0.58431373 0.56862745 0.57254902 ... 0.55294118 0.5254902  0.50196078]
 [0.60392157 0.58823529 0.57647059 ... 0.56078431 0.54117647 0.49411765]
 [0.62352941 0.60784314 0.58039216 ... 0.57254902 0.57254902 0.51764706]
 ...
 [0.56078431 0.65098039 0.76470588 ... 0.47843137 0.47058824 0.49803922]
 [0.51764706 0.6        0.71372549 ... 0.4627451  0.45098039 0.5254902 ]
 [0.47843137 0.55686275 0.67058824 ... 0.47058824 0.44313725 0.54117647]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
e667f4d290,,298,"[[0.50980392 0.51372549 0.52156863 ... 0.45490196 0.41176471 0.38823529]
 [0.34509804 0.37647059 0.40392157 ... 0.43137255 0.43529412 0.44313725]
 [0.2627451  0.27843137 0.29411765 ... 0.51372549 0.5254902  0.5372549 ]
 ...
 [0.4745098  0.4627451  0.44313725 ... 0.46666667 0.44313725 0.40784314]
 [0.56862745 0.54117647 0.5254902  ... 0.54901961 0.5372549  0.5254902 ]
 [0.65098039 0.60392157 0.56470588 ... 0.50588235 0.5254902  0.56862745]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
7deaf30c4a,4344 5858,365,"[[0.30588235 0.32941176 0.32941176 ... 0.65882353 0.5372549  0.52156863]
 [0.38431373 0.36862745 0.32156863 ... 0.55294118 0.48235294 0.44705882]
 [0.49803922 0.46666667 0.39607843 ... 0.42745098 0.41568627 0.36862745]
 ...
 [0.33333333 0.3372549  0.48235294 ... 0.70588235 0.56078431 0.48627451]
 [0.36862745 0.31764706 0.49803922 ... 0.61176471 0.54901961 0.48627451]
 [0.40784314 0.35294118 0.50980392 ... 0.50980392 0.56862745 0.58823529]]","[[0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]]",0.5742574257425742,6
b183b2ddc4,35 67 136 67 238 66 339 66 441 65 543 64 644 64 745 64 847 63 948 63 1049 63 1151 62 1253 61 1354 61 1455 61 1556 61 1657 61 1757 62 1858 62 1960 61 2061 61 2163 60 2265 59 2368 57 2470 56 2572 55 2676 52 2779 50 2883 47 2987 44 3091 41 3196 37 3304 30 3414 21 3525 11 3636 1,347,"[[0.26666667 0.31372549 0.31764706 ... 0.43921569 0.48627451 0.49019608]
 [0.28627451 0.35686275 0.3372549  ... 0.31764706 0.34901961 0.35686275]
 [0.31764706 0.39215686 0.34901961 ... 0.28235294 0.28235294 0.27843137]
 ...
 [0.28627451 0.28627451 0.29411765 ... 0.38039216 0.38039216 0.38039216]
 [0.28627451 0.29411765 0.28627451 ... 0.37254902 0.37254902 0.36470588]
 [0.29411765 0.29803922 0.29411765 ... 0.37647059 0.37647059 0.36470588]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]]",0.1907656112145868,2
495a2d3c7c,1 8170 8177 91 8283 82 8384 79 8485 75 8586 73 8687 70 8788 68 8889 66 8990 65 9091 64 9192 63 9293 62 9394 61 9495 61 9596 60 9697 60 9798 59 9900 58 10001 58 10102 57,470,"[[0.29803922 0.29803922 0.29803922 ... 0.76470588 0.71764706 0.67058824]
 [0.30980392 0.31372549 0.31372549 ... 0.93333333 0.90980392 0.88627451]
 [0.3254902  0.32941176 0.33333333 ... 0.99607843 1.         1.        ]
 ...
 [0.43529412 0.42745098 0.42745098 ... 0.28627451 0.29411765 0.29411765]
 [0.42745098 0.41960784 0.41960784 ... 0.28627451 0.28235294 0.28235294]
 [0.41176471 0.40784314 0.40784314 ... 0.26666667 0.2745098  0.29411765]]","[[1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]]",0.9314773061464562,10
8fb68e99e8,,312,"[[0.56470588 0.56078431 0.5254902  ... 0.49411765 0.49411765 0.48627451]
 [0.52156863 0.51372549 0.48627451 ... 0.49411765 0.49411765 0.48627451]
 [0.48235294 0.48235294 0.47058824 ... 0.50196078 0.49411765 0.49411765]
 ...
 [0.46666667 0.4745098  0.50196078 ... 0.52156863 0.53333333 0.50980392]
 [0.47058824 0.49803922 0.53333333 ... 0.49411765 0.52156863 0.53333333]
 [0.48627451 0.50980392 0.52941176 ... 0.47058824 0.49019608 0.53333333]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.0,0
e4159ed1de,8988 2 9088 3 9187 5 9287 6 9388 6 9489 6 9590 6 9692 5 9794 4 9896 3 9998 2 10099 2 10201 1,520,"[[0.4627451  0.43921569 0.41176471 ... 0.48235294 0.51372549 0.56078431]
 [0.43137255 0.41176471 0.39607843 ... 0.56078431 0.58823529 0.61568627]
 [0.40392157 0.38823529 0.37254902 ... 0.59215686 0.61568627 0.62745098]
 ...
 [0.63529412 0.61960784 0.6        ... 0.78039216 0.74901961 0.69019608]
 [0.65882353 0.63921569 0.61960784 ... 0.76470588 0.72156863 0.65098039]
 [0.69019608 0.67058824 0.65490196 ... 0.74901961 0.69803922 0.62352941]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 1. 1. 0.]
 [0. 0. 0. ... 1. 1. 1.]]",0.004999509851975297,1
3ed6d1c7df,1 77 102 75 203 73 304 71 405 69 506 67 607 65 708 63 809 62 910 60 1011 59 1112 58 1213 57 1314 55 1415 54 1516 53 1617 51 1718 50 1819 48 1920 47 2021 45 2127 38 2232 32 2336 27 2439 23 2543 18 2646 15 2749 11 2852 7 2954 4,633,"[[0.38823529 0.38823529 0.39215686 ... 0.36862745 0.38039216 0.39607843]
 [0.38823529 0.38823529 0.38823529 ... 0.39215686 0.40392157 0.41176471]
 [0.38039216 0.38039216 0.38039216 ... 0.41176471 0.42352941 0.42352941]
 ...
 [0.41176471 0.37254902 0.33333333 ... 0.41176471 0.41176471 0.40392157]
 [0.41960784 0.37647059 0.3372549  ... 0.44313725 0.43529412 0.41960784]
 [0.42352941 0.38039216 0.3372549  ... 0.4627451  0.45098039 0.43137255]]","[[1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 [1. 1. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.14057445348495246,2
7fadb8efe8,1 47 102 47 203 47 304 47 405 47 506 47 607 47 708 47 809 47 910 48 1011 48 1112 48 1213 48 1314 49 1415 49 1516 49 1617 49 1718 49 1819 49 1920 48 2021 48 2122 48 2223 47 2324 47 2425 47 2526 47 2627 47 2728 47 2829 47 2930 48 3031 48 3132 49 3233 50 3334 51 3435 51 3536 52 3637 53 3738 53 3839 54 3940 54 4041 54 4142 54 4243 55 4344 55 4445 55 4546 56 4647 56 4748 56 4849 56 4950 57 5051 57 5152 57 5253 58 5354 58 5455 58 5556 59 5657 59 5758 60 5859 60 5960 61 6061 61 6162 62 6263 62 6364 62 6465 63 6566 63 6667 64 6768 64 6869 64 6970 65 7071 65 7172 65 7273 65 7374 65 7475 65 7576 65 7677 66 7778 66 7879 66 7980 67 8081 67 8182 67 8283 68 8384 68 8485 68 8586 69 8687 69 8788 69 8889 70 8990 70 9091 70 9192 71 9293 71 9394 71 9495 72 9596 72 9697 72 9798 72 9899 73 10000 73 10101 73,678,"[[0.45098039 0.44313725 0.43921569 ... 0.5254902  0.53333333 0.54117647]
 [0.44313725 0.43921569 0.43921569 ... 0.52156863 0.52941176 0.5372549 ]
 [0.44313725 0.44313725 0.44313725 ... 0.52156863 0.52941176 0.5372549 ]
 ...
 [0.41176471 0.41176471 0.42352941 ... 0.4        0.39215686 0.38039216]
 [0.43921569 0.43921569 0.44313725 ... 0.4        0.39607843 0.39607843]
 [0.47058824 0.46666667 0.46666667 ... 0.40784314 0.40784314 0.41176471]]","[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0.5730810704832859,6
